Year,CPB,CPI,Diff,Savings,TSE,Invest
1999,5.00,2.63,2.37,102309.27,31.70,128325.05
2000,5.50,3.20,2.30,104589.41,7.40,133547.58
2001,5.50,0.72,4.78,109553.05,-12.60,115886.21
2002,2.00,3.80,-1.80,107653.29,-12.40,97799.92
2003,2.50,2.08,0.42,108096.22,26.70,121387.64
2004,2.35,2.13,0.22,108326.95,14.50,136087.46
2005,2.00,2.09,-0.09,108231.45,24.10,165427.11
2006,2.50,1.67,0.83,109115.02,17.30,190858.66
2007,3.05,2.38,0.67,109829.09,9.70,204504.74
2008,3.15,1.16,1.99,111989.63,-33.00,135446.99
2009,2.35,1.32,1.03,113128.09,35.10,180604.90
2010,1.00,2.35,-1.35,111635.93,17.60,207514.76
2011,1.40,2.30,-0.90,110653.80,-8.70,185201.35
2012,1.00,1.58,-0.58,110021.99,7.20,195447.77
2013,1.00,1.24,-0.24,109761.17,13.00,218150.91
2014,1.00,1.47,-0.47,109252.76,10.60,237779.54
2015,0.70,1.61,-0.91,108274.32,-8.30,214588.96
2016,0.80,1.50,-0.70,107527.60,21.10,256026.83
2017,0.90,1.87,-0.97,106503.73,9.10,274197.77
2018,1.00,1.99,-0.99,105469.91,-8.90,244920.26
2019,1.25,2.25,-1.00,104438.42,22.90,294383.37
